idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
47835,19817,SPC Roble Orleans 4 mm (0.3 wl) + Bisel + EIR -,2.0000,7.08000000,25034.4886
47857,20179,SPC Roble Escandinavo 2204 4 mm (0.5 wl) -,8.0000,21.12000000,75741.8640
47857,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5960.4270
47858,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,3.0000,7.92000000,21035.8971
47859,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,1.0000,2.64000000,5555.6382
47862,21656,SPC Oferta 6172-1 4.2 mm (0.4 wl) -,10.0000,22.00000000,61285.7020
47862,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7206.6981
47887,19004,Flotante Krono Original Roble Nostalgia D-8072 Cas,10.0000,22.20000000,52648.2730
47887,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,20.0000,20.00000000,5113.5300
47888,19214,Flotante Krono Original Red River D-8156 Narrow -,20.0000,28.40000000,124229.9600
47893,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,9422.8996
47893,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,11.0000,29.04000000,70514.1000
47902,21207,SPC Munster 2314 4 mm (0.3 wl) -,6.0000,16.20000000,47636.8950
47902,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,6363.4384
47906,19561,Porcelanato Blanco Atelier -,59.0000,99.12000000,325330.2421
47915,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7188.3680
47915,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,9.0000,23.76000000,66018.0114
47920,21522,Deck PVC Roble Natural T405 Colección Noble (Sin P,181.0000,76.02000000,743762.3402
47923,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,25.0000,25.00000000,8999.1000
47923,20236,SPC Olivo 8890 (Max Core 2da Gen) 4 mm -,10.0000,26.40000000,104770.2220
47931,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,19.0000,50.16000000,140077.1200
47931,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,18061.9000
47941,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10837.1400
47941,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,12.0000,31.68000000,88469.7600
47952,20893,SPC Oferta FH785707 4mm + Bisel Rectificado -,9.0000,21.51000000,56135.9673
47952,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5970.3637
47958,200111,Porcelanato Indiana - Rectificado - -,13.0000,21.97000000,67611.1527
47959,20116,SPC Oferta Roble Vienna 4022 4 mm (0.3 wl) -,4.0000,10.80000000,29671.7520
47959,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,2972.7101
47962,200125,SPC Oferta 3678-3 - -,4.0000,8.84000000,19621.8663
