idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
47832,200115,Porcelanato Reserva Marfil - Rectificado - -,8.0000,13.52000000,49934.2864
47834,17003,Flotante Kronotex Roble Nature Petterson D-4764 Am,2.0000,2.60000000,8804.2994
47834,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,5.0000,5.00000000,1573.0425
47837,18351,Flotante Krono Original Roble Chantilly TP-5953 Ti,4.0000,5.64000000,21980.9607
47837,17085,Mantos Steico 3mmx790mmx590 mm - -,5.0000,5.00000000,1723.1616
47839,21097,SPC Roble Adela 4 mm (0.3 wl) -,23.0000,47.15000000,154666.4256
47839,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11942.5118
47844,20311,"SPC Aconcagua 5003 Antique 5,5mm (4mm + 0,5 wl + E",32.0000,84.48000000,336355.3625
47844,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,4.0000,4.00000000,24165.3935
47845,19860,SPC Roble Bremen (5022) AQUAblue (4mm + 0.3 wl) -,14.0000,37.80000000,112587.1819
47845,20230,SPC Abeto 8881 (Max Core 2da Gen) 4 mm (0.3 wl) -,4.0000,10.56000000,37391.9214
47845,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,16113.8825
47846,19368,Flotante Kronotex Eiche Rosemont D-3665 (Caja Exqu,4.0000,8.52000000,20843.8672
47846,17774,Mantos Ladix 3mmx0.80mmx1.25 mm - -,7.0000,7.00000000,1820.3500
47847,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,10.0000,26.40000000,73724.8000
47847,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10837.1400
47849,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10831.7214
47849,200147,SPC Oferta JMW070 6.5 mm (0.5 wl) -,19.0000,34.39000000,87324.7752
47853,17774,Mantos Ladix 3mmx0.80mmx1.25 mm - -,4.0000,4.00000000,1040.5776
47855,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,9609.2985
47855,20235,SPC Incienso 8889 (Max Core 2da Gen) 4 mm (0.3 wl),12.0000,31.68000000,111490.8312
47856,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,23.0000,60.72000000,147082.4516
47856,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,18800.2704
47860,21169,SPC Oferta 1182-3 3.7mm (0.2 wl) + 1.5mm EVA -,23.0000,70.84000000,180009.1550
47863,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,10.0000,10.00000000,3602.7800
47866,18871,Porcelanato Natural Atelier Atelier -,66.0000,110.88000000,270006.9834
47867,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,14.0000,36.96000000,85061.2056
47867,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,33.0000,33.00000000,9823.9812
47868,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14449.5200
47868,21097,SPC Roble Adela 4 mm (0.3 wl) -,19.0000,38.95000000,154589.1300
47869,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,12565.3108
47869,200128,SPC Oferta ORGW491-4 4 mm -,17.0000,42.50000000,86672.7461
47874,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,26.0000,26.00000000,9717.9940
47874,200129,SPC Oferta ORGW354-10 4 mm -,12.0000,29.16000000,68380.6332
47878,20312,"SPC Makalu 5004 Antique 5,5mm (4mm + 0,5 wl + EVA",38.0000,100.32000000,365973.6023
47879,20713,SPC Abedul 8886 (Max Core 2da Generacion) Home (4m,10.0000,26.40000000,90121.8600
47879,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,9321.0304
47880,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,8.0000,21.12000000,48109.8555
47880,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5893.2367
47881,20028,SPC Roble Salzburgo 2316 4 mm (0.3 wl) -,1.0000,2.70000000,9014.1400
47882,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,21672.1269
47882,20886,SPC Oferta Orchid 5mm + 1.5mm EVA + 0.3 wl -,31.0000,61.38000000,204886.1355
47883,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,17.0000,44.88000000,99528.4720
47883,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11474.6206
47884,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,40.0000,40.00000000,10368.0160
47884,19321,Flotante Krono Original Salt Lake Oak - 4295 Vario,20.0000,44.40000000,128640.3240
47889,11704,Flotante Euro Home Roble Highland D-709 Loft -,7.0000,15.54000000,37479.6611
47891,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,3603.3491
47891,20235,SPC Incienso 8889 (Max Core 2da Gen) 4 mm (0.3 wl),5.0000,13.20000000,52259.3740
47894,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14443.7402
47894,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,18.0000,47.52000000,132651.5580
47895,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,17.0000,44.88000000,124993.7631
47895,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,39.0000,39.00000000,14037.0984
47896,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10775.3684
47896,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,14.0000,26.46000000,104415.1416
47897,19004,Flotante Krono Original Roble Nostalgia D-8072 Cas,4.0000,8.88000000,21563.1384
47898,18273,Flotante Krono Original Appalachian VL-8155 Saga x,9.0000,17.28000000,63429.5619
47898,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,16.0000,16.00000000,4136.6352
47899,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5926.4706
47899,20789,SPC Roble Harbour 8884 (Max Core 2da Generacion) H,10.0000,26.40000000,85951.5260
